r_kpc,v_kms_D_0.00_kpc2_per_T0,v_kms_D_0.05_kpc2_per_T0,v_kms_D_0.20_kpc2_per_T0
11.943286773144289,98.75084382441992,98.99131656731619,99.74518257064304
11.976647906588825,98.37610358108248,98.61203642795812,99.35172592249977
12.010009040033363,98.0075492883823,98.23901464000264,98.9647520452951
12.043370173477898,97.64508228685727,97.87215179308394,98.58415924270716
12.076731306922436,97.28860487849052,97.51134943546653,98.20984676762825
12.110092440366973,96.93802033434669,97.15651008191948,97.84171483074338
12.143453573811511,96.59323290175789,96.80753722114468,97.47966460867823
12.176814707256048,96.25414781105314,96.46433532275437,97.12359825171066
12.210175840700586,95.92067128183243,96.12680984379462,96.77341889104044
12.24353697414512,95.59271052877988,95.79486723481156,96.42903064561273
12.276898107589659,95.27017376701514,95.46841494545872,96.09033862849151
12.310259241034196,94.95297021698379,95.14736142964331,95.75724895277993
12.343620374478734,94.64101010888251,94.8316161502113,95.42966873708558
12.37698150792327,94.33420468662446,94.5210895831713,95.10750611052855
12.410342641367809,94.03246621134346,94.21569322145743,94.79067021729213
12.443703774812343,93.73570796443721,93.91533957823316,94.47907122071572
12.477064908256882,93.44384425015585,93.61994218973776,94.17262030693041
12.510426041701418,93.15679039773599,93.32941561767811,93.87122968803888
12.543787175145956,92.8744627630846,93.04367545116932,93.57481260484103
12.577148308590493,92.5967787300187,92.7626383082278,93.28328332910867
12.610509442035031,92.32365671106271,92.48622183682139,92.99655716541139
12.643870575479566,92.0550161478111,92.21434471548154,92.71455045249859
12.677231708924104,91.79077751086317,91.94692665348303,92.43718056424095
12.71059284236864,91.53086229933191,91.6838883905974,92.16436591013714
12.743953975813179,91.27519303993853,91.42515169642625,91.89602593539055
12.777315109257716,91.02369328569823,91.17063936932192,91.63208112056249
12.810676242702254,90.7762876142035,90.92027523490239,91.3724529808077
12.844037376146792,90.53290162551549,90.67398414416866,91.11706406469987
12.877398509591327,90.2934619396695,90.43169197123213,90.86583795265369
12.910759643035865,90.05789619380464,90.19332561066133,90.61869925495144
12.944120776480402,89.82613303892754,89.95881297445594,90.37557360938234
12.97748190992494,89.59810213631694,89.7280829886578,90.13638767850274
13.010843043369476,89.37373415357938,89.50106558960793,89.90106914652637
13.044204176814015,89.15296076036883,89.2776917198593,89.6695467158529
13.07756531025855,88.93571462377668,89.05789332375522,89.44175010324503
13.110926443703088,88.721929403401,88.84160334268287,89.21761003566279
13.144287577147624,88.51153974611182,88.62875571001301,88.99705824576544
13.177648710592162,88.30448128051452,88.41928534573513,88.78002746709042
13.211009844036699,88.10069061112982,88.21312815079922,88.56645142891973
13.244370977481237,87.90010531229268,88.0102210011741,88.35626485084381
13.277732110925772,87.70266392178918,87.81050174163336,88.14940343703331
13.31109324437031,87.50830593423431,87.61390917927895,87.94580387022927
13.344454377814847,87.31697179420777,87.42038307681355,87.74540380546193
13.377815511259385,87.1286028891525,87.22986414557207,87.5481418635091
13.411176644703922,86.94314154205264,87.0422940383228,87.35395762410434
13.44453777814846,86.76053100389593,86.85761534184917,87.16279161890567
13.477898911592995,86.58071544593484,86.67577156932228,86.97458532423542
13.511260045037533,86.40363995175468,86.49670715247471,86.78928115360169
13.54462117848207,86.22925050916045,86.32036743358633,86.60682245001183
13.577982311926608,86.05749400189114,86.14669865729182,86.42715347808861
13.611343445371144,85.88831820117478,85.9756479622208,86.25021941599914
13.644704578815682,85.72167175712801,85.80716337247985,86.07596634720707
13.678065712260217,85.55750419001826,85.64119378898702,85.90434125205796
13.711426845704755,85.39576588139057,85.47768898066808,85.73529199920802
13.744787979149292,85.23640806507363,85.31659957552446,85.56876733690605
13.77814911259383,85.07938281807247,85.1578770515824,85.40471688413834
13.811510246038367,84.92464305135586,85.00147372773193,85.24309112164607
13.844871379482905,84.77214250055117,84.84734275446593,85.08384138282484
13.87823251292744,84.62183571655034,84.6954381045269,84.92691984451508
13.911593646371978,84.47367805603986,84.54571456347108,84.77227951769319
13.944954779816515,84.3276256719612,84.39812772015819,84.61987423807165
13.978315913261053,84.1836355039089,84.25263395717467,84.46965865661679
14.01167704670559,84.04166526847847,84.10919044119916,84.32158822999341
14.045038180150128,83.90167344956411,83.96775511331768,84.1756192109437
14.078399313594662,83.76361928862481,83.8282866792962,84.03170863860886
14.1117604470392,83.62746277491435,83.69074459981832,83.88981432880153
14.145121580483737,83.49316463568908,83.55508908069473,83.74989486423628
14.178482713928275,83.36068632640212,83.42128106305222,83.61190958472561
14.211843847372812,83.22999002088396,83.28928221350812,83.4758185773492
14.24520498081735,83.1010386015206,83.15905491433747,83.34158266660252
14.278566114261885,82.97379564943408,83.03056225363885,83.20916340453239
14.311927247706423,82.8482254346736,82.90376801550497,83.07852306086524
14.34528838115096,82.72429290641573,82.77863667020388,82.94962461313524
14.378649514595498,82.60196368319068,82.65513336437692,82.82243173681749
14.412010648040035,82.48120404312836,82.53322391125792,82.69690879547292
14.445371781484573,82.36198091423782,82.41287478091978,82.57302083090978
14.478732914929108,82.24426186471983,82.29405309055284,82.450733553368
14.512094048373646,82.1280150933199,82.17672659478006,82.33001333173065
14.545455181818182,82.01320941972519,82.06086367601348,82.21082718376846
14.57881631526272,81.89981427500821,81.9464333348565,82.09314276642124
14.612177448707257,81.78779969212687,81.83340518055587,81.97692836612156
14.645538582151795,81.67713629647461,81.72174942150751,81.86215288916458
14.67889971559633,81.56779529649612,81.61143685581999,81.74878585212821
14.712260849040868,81.45974847436214,81.50243886193904,81.63679737234779
14.745621982485405,81.35296817671306,81.39472738933662,81.52615815844882
14.778983115929943,81.24742730547072,81.28827494926772,81.41683950094118
14.81234424937448,81.14309930872346,81.18305460559783,81.30881326287883
14.845705382819018,81.03995817168523,81.07903996570404,81.20205187058733
14.879066516263553,80.93797840773536,80.97620517145224,81.09652830446285
14.912427649708091,80.83713504953333,80.8745248902532,80.99221608984512
14.94578878315263,80.73740364022083,80.77397430619962,80.88908928796712
14.979149916597166,80.63876022470559,80.67452911128643,80.7871224869842
15.012511050041704,80.54118134103237,80.57616549671636,80.68629079308431
15.04587218348624,80.44464401184133,80.47886014429251,80.58656982168249
15.079233316930779,80.3491257359175,80.38259021790007,80.48793568870055
15.112594450375314,80.25460447983058,80.28733335507818,80.39036500193484
15.145955583819852,80.1610586696667,80.19306765868382,80.29383485251302
