r_kpc,v_kms
0.1,8.846459681766536
0.1498997995991984,13.172400914557493
0.1997995991983968,17.406926383552797
0.2496993987975952,21.528607564027887
0.2995991983967936,25.519008694282803
0.34949899799599193,29.363015914030996
0.39939879759519037,33.04899384635292
0.4492985971943888,36.56878236126007
0.49919839679358713,39.91755741564689
0.5490981963927856,43.09358643505445
0.5989979959919839,46.097910814110996
0.6488977955911823,48.933986541271544
0.6987975951903808,51.60730981155533
0.7486973947895791,54.12504893837152
0.7985971943887775,56.49569791628501
0.8484969939879758,58.728761363708934
0.8983967935871743,60.834475749090444
0.9482965931863727,62.82356799028689
0.998196392785571,64.70704974338668
1.0480961923847696,66.49604387398331
1.097995991983968,68.2016385785725
1.1478957915831665,69.83476422426224
1.1977955911823648,71.40608803673275
1.247695390781563,72.9259221467317
1.2975951903807617,74.4041410891592
1.34749498997996,75.85010554791106
1.3973947895791583,77.27258988966422
1.4472945891783566,78.67971178517749
1.4971943887775552,80.07886294605042
1.5470941883767535,81.47664068675881
1.5969939879759518,82.87878064124583
1.6468937875751504,84.29009150954154
1.6967935871743487,85.71439317437938
1.746693386773547,87.15445990357527
1.7965931863727456,88.61197063503796
1.846492985971944,90.08746852265597
1.8963927855711422,91.58033199911588
1.9462925851703408,93.08875958369966
1.996192384769539,94.60977052909098
2.0460921843687374,96.13922316351265
2.0959919839679357,97.67185244834931
2.145891783567134,99.20132784520143
2.195791583166333,100.72033208179957
2.245691382765531,102.22066083837683
2.2955911823647295,103.69334276296651
2.345490981963928,105.12877858626445
2.395390781563126,106.51689746674325
2.4452905811623245,107.84732807841185
2.495190380761523,109.10958138105735
2.5450901803607215,110.29324150940597
2.59498997995992,111.38816080511673
2.644889779559118,112.38465471292061
2.6947895791583165,113.27369208497898
2.744689378757515,114.04707639668231
2.794589178356713,114.69761347864893
2.844488977955912,115.21926161415497
2.8943887775551103,115.60726023356021
2.9442885771543086,115.85823394686923
2.994188376753507,115.97026927656947
3.0440881763527052,115.94296216489592
3.0939879759519036,115.77743510847294
3.1438877755511023,115.47632359187834
3.1937875751503007,115.04373232141441
3.243687374749499,114.48516257217491
3.2935871743486973,113.80741272709831
3.3434869739478956,113.01845477983309
3.393386773547094,112.12729017075245
3.4432865731462923,111.14378880821963
3.493186372745491,110.07851548088439
3.5430861723446894,108.94254808232463
3.5929859719438877,107.74729214321037
3.642885771543086,106.50429610035839
3.6927855711422843,105.22507153382087
3.7426853707414827,103.92092228453646
3.7925851703406814,102.60278594216545
3.8424849699398798,101.2810906848602
3.892384769539078,99.96562988147735
3.9422845691382764,98.66545625498243
3.9921843687374747,97.38879677661122
4.042084168336673,96.14298883611544
4.091983967935871,94.93443763488104
4.141883767535069,93.76859419427491
4.191783567134268,92.64995287669655
4.241683366733466,91.58206689356508
4.291583166332665,90.56757993132929
4.3414829659318634,89.60827176834533
4.391382765531062,88.70511558337287
4.44128256513026,87.85834456842905
4.491182364729458,87.06752544984211
4.541082164328657,86.33163658414011
4.590981963927855,85.64914842057308
4.640881763527053,85.01810429894307
4.690781563126252,84.4361997685822
4.74068136272545,83.90085886012754
4.790581162324648,83.40930600481653
4.840480961923847,82.95863256568974
4.890380761523046,82.54585721169393
4.940280561122244,82.16797962089196
4.9901803607214426,81.82202723593318
5.040080160320641,81.50509500830299
5.089979959919839,81.21437825390102
5.1398797595190375,80.9471988989354
5.189779559118236,80.70102552109377
5.239679358717434,80.47348768680673
5.2895791583166325,80.26238515252818
5.339478957915831,80.06569253852138
5.389378757515029,79.88156010046548
5.4392785571142275,79.70831122050187
5.489178356713426,79.54443721855496
5.539078156312625,79.38859005036616
5.588977955911823,79.23957341405794
5.638877755511022,79.0963327353666
5.68877755511022,78.95794444582027
5.738677354709418,78.82360491061173
5.788577154308617,78.69261930583848
5.838476953907815,78.56439068988526
5.888376753507013,78.4384094623234
5.938276553106212,78.31424335675295
5.98817635270541,78.1915280721324
6.038076152304608,78.0699586106441
6.087975951903807,77.94928135909662
6.137875751503005,77.82928692513921
6.187775551102204,77.7098037188585
6.237675350701402,77.59069225424582
6.287575150300601,77.47184013308078
6.337474949899799,77.35315766545392
6.387374749498997,77.23457407591948
6.437274549098196,77.11603424160342
6.487174348697394,76.99749590800057
6.537074148296592,76.87892732922641
6.586973947895791,76.7603052817357
6.636873747494989,76.64161340363161
6.686773547094187,76.5228408153666
6.736673346693386,76.40398098162876
6.786573146292584,76.2850307783213
6.836472945891783,76.16598973261947
6.8863727454909816,76.04685940801595
6.93627254509018,75.92764290995996
6.986172344689378,75.80834449110479
7.0360721442885765,75.68896923827235
7.085971943887775,75.56952282601112
7.135871743486973,75.45001132406674
7.1857715430861715,75.330441048215
7.23567134268537,75.21081844574697
7.285571142284568,75.0911500084652
7.3354709418837665,74.97144220737977
7.385370741482965,74.8517014444057
7.435270541082163,74.7319340172908
7.485170340681362,74.61214609476552
7.535070140280561,74.49234369953119
7.584969939879759,74.37253269721097
7.634869739478957,74.25271878979547
7.684769539078156,74.13290751244335
7.734669338677354,74.01310423275628
7.784569138276552,73.89331415185355
7.834468937875751,73.77354230673204
7.884368737474949,73.65379357352325
7.934268537074147,73.5340726713552
7.984168336673346,73.41438416660286
8.034068136272545,73.2947324773665
8.083967935871742,73.17512187806177
8.133867735470941,73.05555650403682
8.183767535070139,72.93604035615725
8.233667334669338,72.81657730531727
8.283567134268536,72.69717109684883
8.333466933867735,72.57782535481063
8.383366733466932,72.45854358614564
8.433266533066131,72.3393291847016
8.48316633266533,72.22018543511135
8.533066132264528,72.10111551653388
