r_kpc,rho_kg_m3,M_enc_kg,G_eff_over_GN,v_kms_final
22.919099676397003,8.64507230045187e-24,3.5185577010634504e+41,0.04983259762324224,40.67877952288984
22.95246080984154,8.549468391248228e-24,3.519112454392259e+41,0.049831596195731756,40.6520015852033
22.985821943286076,8.4549217441631e-24,3.519662668808832e+41,0.04983061679487286,40.62526645884706
23.019183076730613,8.361420667172614e-24,3.520208379150814e+41,0.04982965893618409,40.59857397462474
23.05254421017515,8.268953597552381e-24,3.520749620015067e+41,0.04982872214583997,40.571923966975035
23.08590534361969,8.17750910044758e-24,3.521286425759018e+41,0.049827805960437115,40.54531627387429
23.119266477064222,8.087075867458863e-24,3.521818830501999e+41,0.049826909926764223,40.518750736740984
23.152627610508763,7.99764271524392e-24,3.522346868126586e+41,0.049826033601578924,40.492227200343265
23.1859887439533,7.909198584134527e-24,3.5228705722799345e+41,0.04982517655138837,40.46574551270829
23.21934987739784,7.821732536768832e-24,3.5233899763751105e+41,0.049824338352233835,40.43930552503336
23.252711010842372,7.735233756738825e-24,3.5239051135924164e+41,0.04982351858948214,40.41290709160026
23.28607214428691,7.64969154725267e-24,3.52441601688072e+41,0.04982271685762016,40.386550069690855
23.31943327773145,7.565095329811991e-24,3.5249227189587694e+41,0.04982193276005339,40.360234319504826
23.352794411175985,7.48143464290363e-24,3.525425252316512e+41,0.0498211659089115,40.33395970408021
23.38615554462052,7.398699140705964e-24,3.52592364921641e+41,0.04982041592485487,40.307726089214796
23.419516678065058,7.316878591809439e-24,3.526417941694742e+41,0.04981968243688732,40.28153334339006
23.452877811509595,7.235962877951401e-24,3.526908161562916e+41,0.04981896508217392,40.255381337697514
23.486238944954135,7.155941992764768e-24,3.527394340408765e+41,0.049818263505859155,40.229269945765296
23.51960007839867,7.076806040540627e-24,3.5278765095978486e+41,0.049817577360893026,40.20319904368823
23.552961211843208,6.998545235004489e-24,3.528354700274741e+41,0.049816906307859496,40.17716850995899
23.586322345287744,6.921149898106036e-24,3.528828943364323e+41,0.04981625001480762,40.151178225400585
23.619683478732284,6.844610458822372e-24,3.5292992695730676e+41,0.0498156081570875,40.125228073100935
23.65304461217682,6.768917451974372e-24,3.529765709390317e+41,0.0498149804171908,40.09931793834943
23.686405745621354,6.694061517056208e-24,3.530228293089566e+41,0.04981436648459214,40.073447708574115
23.719766879065894,6.620033397077757e-24,3.530687050729726e+41,0.04981376605559664,40.04761727328145
23.75312801251043,6.5468239374198876e-24,3.531142012156399e+41,0.04981317883318906,40.02182652399685
23.78648914595497,6.474424084702334e-24,3.5315932070031394e+41,0.049812604526887225,39.996075354207214
23.819850279399503,6.402824885664136e-24,3.532040664692712e+41,0.04981204285259806,39.97036365930451
23.85321141284404,6.332017486056402e-24,3.53248441443835e+41,0.04981149353247673,39.94469133653088
23.88657254628858,6.261993129547416e-24,3.5329244852450055e+41,0.04981095629479128,39.919058284926045
23.919933679733116,6.192743156639751e-24,3.533360905910593e+41,0.04981043087378482,39.89346440527389
23.953294813177653,6.124259003599432e-24,3.533793705027232e+41,0.049809917009546255,39.86790960005251
23.98665594662219,6.0565322013968534e-24,3.5342229109824884e+41,0.049809414447882075,39.84239377338501
24.02001708006673,5.989554374659527e-24,3.5346485519606026e+41,0.04980892294018917,39.81691683099062
24.053378213511266,5.923317240636334e-24,3.5350706559437204e+41,0.04980844224333214,39.79147868013792
24.0867393469558,5.857812608173228e-24,3.535489250713116e+41,0.04980797211952478,39.76607922959972
24.12010048040034,5.7930323767002686e-24,3.535904363850411e+41,0.0498075123362096,39.740718389607295
24.153461613844875,5.728968535229925e-24,3.536316022738789e+41,0.04980706266594468,39.715396071807795
24.186822747289416,5.665613161366364e-24,3.536724254564208e+41,0.04980662288629152,39.69011218922195
24.22018388073395,5.6029584203257555e-24,3.5371290863166035e+41,0.04980619277970319,39.66486665620214
24.253545014178485,5.5409965639673535e-24,3.5375305447910884e+41,0.04980577213341822,39.63965938839283
