r_kpc,v_km_s,a_m_s2
9.5,347.71282212113226,12726.75859657286
9.6,347.0839079624512,12548.670746509093
9.700000000000001,346.4583923953573,12374.579140327356
9.8,345.8362327928024,12204.357133909938
9.9,345.2173873469077,12037.883285517666
10.0,344.6018150510673,11875.041093649
10.1,343.98947568245256,11715.718750523627
10.200000000000001,343.3803297849084,11559.808910116904
10.3,342.77433865223435,11407.208469755013
10.4,342.1714643118403,11257.818364356634
10.5,341.5716695087692,11111.54337247694
10.6,340.9749176900803,10968.291933373306
10.700000000000001,340.38117298958133,10827.9759743704
10.8,339.79040021290734,10690.510747856271
10.9,339.20256482293263,10555.814677289523
11.0,338.61763292551296,10423.809211643404
11.1,338.0355712555488,10294.418687753623
11.200000000000001,337.45634716336207,10167.570200074959
11.3,336.8799286013814,10043.193477386885
11.4,336.3062841111257,9921.220766020455
11.5,335.7353828104838,9801.58671920888
11.6,335.1671943812795,9684.228292191241
11.700000000000001,334.60168905711765,9569.084642724447
11.8,334.0388376115052,9456.097036681824
11.9,333.4786113462398,9345.208758438357
12.0,332.9209820800609,9236.365025762687
12.1,332.3659221375574,9129.512908954452
12.200000000000001,331.81340433832526,9024.601253982699
12.3,331.2634019863705,8921.58060939705
12.4,330.7158888597514,8820.403156798018
12.5,330.17083920045445,8721.022644666587
12.6,329.62822770449907,8623.3943253658
12.700000000000001,329.0880295122662,8527.474895139068
12.8,328.550220199044,8433.222436940649
12.9,328.0147757657892,8340.59636594426
13.0,327.4816726300942,8249.557377584937
13.1,326.95088761736037,8160.067397998459
13.200000000000001,326.42239795216943,8072.08953673064
13.3,325.8961812498497,7985.588041596608
13.4,325.37221550823205,7900.528255577268
13.5,324.85047909959286,7816.876575647038
13.6,324.3309507627776,7734.600413432888
13.700000000000001,323.81360959550165,7653.668157610799
13.8,323.29843504682594,7574.049137951212
13.9,322.7854069098003,7495.713590929883
14.0,322.2745053142735,7418.632626825692
14.1,321.7657107198645,7342.778198231173
14.200000000000001,321.2590039090921,7268.123069905777
14.3,320.75436598065863,7194.640789905895
14.4,320.25177834288445,7122.3056619291665
14.5,319.7512227072907,7051.092718814305
14.6,319.2526810823249,6980.977697140593
14.700000000000001,318.7561357672278,6911.937012874514
14.8,318.26156934603785,6843.947738013706
14.9,317.76896468172987,6776.987578181106
15.0,317.2783049104845,6711.034851124691
15.1,316.7895734360866,6646.068466080642
15.200000000000001,316.3027539244482,6582.067903959871
15.3,315.8178302982544,6519.013198320067
15.4,315.3347867317281,6456.884917087302
