r_kpc,v_kms_mu_0.3_over_T0,v_kms_mu_1.0_over_T0,v_kms_mu_3.0_over_T0
35.029191116763975,110.16089588830927,54.70428422492536,7.403441696613882
35.06255225020851,110.10882714134657,54.678427599321765,7.399941891118553
35.09591338365305,110.05682959794615,54.65260633350875,7.396446882102702
35.129274517097585,110.00490311483661,54.626820356314106,7.39295665968558
35.16263565054213,109.95304754901188,54.60106959669792,7.389471214009998
35.19599678398666,109.90126275773386,54.57535398375323,7.385990535242232
35.2293579174312,109.84954859852996,54.549673446706734,7.382514613571924
35.26271905087574,109.7979049291957,54.52402791491835,7.379043439211988
35.296080184320274,109.74633160779501,54.49841731788114,7.375577002398509
35.32944131776481,109.69482849265931,54.472841585222604,7.372115293390736
35.36280245120935,109.64339544239002,54.44730064670353,7.368658302470875
35.396163584653884,109.5920323158562,54.421794432219656,7.365206019944069
35.42952471809842,109.54073897219747,54.39632287180027,7.361758436138338
35.46288585154296,109.48951527082389,54.37088589560983,7.358315541404405
35.49624698498749,109.43836107141425,54.345483433947166,7.35487732611577
35.52960811843204,109.38727623391911,54.320115417245795,7.3514437806684425
35.562969251876574,109.33626061855965,54.29478177607468,7.348014895481031
35.5963303853211,109.2853140858287,54.26948244113766,7.3445906609945535
35.62969151876565,109.23443649649049,54.24421734327399,7.341171067672439
35.66305265221018,109.1836277115806,54.218986413457905,7.337756106000415
35.69641378565472,109.13288759240747,54.19378958280012,7.334345766486418
35.729774919099256,109.08221600055214,54.168626782545985,7.330940039660559
35.76313605254379,109.031612797868,54.143497944077666,7.3275389160750795
35.79649718598833,108.98107784648083,54.11840299891266,7.324142386304201
35.829858319432866,108.93061100879102,54.09334187870441,7.320750440944129
35.8632194528774,108.88021214747111,54.068314515242925,7.317363070612948
35.89658058632194,108.82988112546816,54.04332084045412,7.3139802659506
35.92994171976648,108.77961780600266,54.01836078640063,7.310602017618749
35.96330285321102,108.72942205256948,53.99343428528117,7.307228316300824
35.99666398665555,108.67929372893705,53.968541269431064,7.303859152701808
36.03002512010009,108.62923269914897,53.94368167132227,7.300494517548384
36.06338625354463,108.57923882752307,53.91885542356349,7.297134401588643
36.096747386989165,108.52931197865217,53.894062458899825,7.2937787955922
36.1301085204337,108.4794520174034,53.86930271021374,7.290427690350066
36.16346965387824,108.4296588089199,53.844576110524144,7.2870810766745695
36.196830787322774,108.3799322186188,53.81988259298681,7.2837389453993575
36.23019192076731,108.33027211219326,53.795222090894775,7.280401287379344
36.26355305421185,108.28067835561143,53.77059453767798,7.277068093490576
36.296914187656384,108.23115081511693,53.745999866903354,7.273739354630214
36.33027532110093,108.1816893572294,53.7214380122749,7.270415061716563
36.363636454545464,108.13229384874343,53.69690890763378,7.267095205688888
36.39699758799,108.08296415672969,53.67241248695839,7.263779777507426
