r_kpc,rho_bulge,rho_disk,rho_total,M_enc_Msun,G_eff,v_kms,a_kms2_per_kpc,a_m_s2
0.8506306306306307,316151019.43761975,1414509807.900902,1730660827.3385217,4866415634.5242195,0.0013563283594151085,2785.5856208593705,9122040.720995251,2.956252712778699e-07
0.8906606606606607,279715020.2696396,1392898572.91378,1672613593.1834197,5164170569.38332,0.0012669087024713352,2710.296558149115,8247481.625231041,2.672827350141625e-07
0.9306906906906908,248450877.20462823,1371617519.7854612,1620068396.9900894,5464048267.649765,0.0011885950815026713,2641.6272929191755,7497866.718229215,2.429893650310288e-07
0.9707207207207209,221490346.96010023,1350661603.9148417,1572151950.8749418,5765930536.482117,0.0011193590830039758,2578.5304645876618,6849363.792162779,2.2197281190365292e-07
1.010750750750751,198132805.87814495,1330025857.7734957,1528158663.6516407,6069709401.883928,0.001057621997988682,2520.1544100484393,6283624.568934686,2.0363844830512151e-07
1.050780780780781,177808798.8095418,1309705389.7281406,1487514188.5376823,6375284881.077204,0.0010021415135650572,2465.8023617241306,5786346.113569408,1.8752274757933466e-07
1.090810810810811,160052375.5492542,1289695382.8810916,1449747758.4303458,6682563243.532811,0.0009519300231768858,2414.90101604481,5346249.651632493,1.7326018946017553e-07
1.130840840840841,144479896.02069113,1269991093.9284322,1414470989.9491234,6991455655.854896,0.0009061949396414448,2366.9761265180864,4954345.281110247,1.6055943100116467e-07
1.170870870870871,130773648.18322536,1250587852.035632,1381361500.2188573,7301877128.723999,0.0008642945430384932,2321.633410081665,4603395.493816031,1.491859204844912e-07
1.210900900900901,118669081.99410129,1231481057.7303388,1350150139.72444,7613745701.839146,0.0008257049450737673,2278.5435058648227,4287518.907828152,1.389490552611132e-07
1.250930930930931,107944785.24039555,1212666181.812091,1320610967.0524867,7926981816.527836,0.0007899951079547336,2237.430048761946,4001894.1888161623,1.2969258649231644e-07
1.2909609609609611,98414556.15819564,1194138764.2786856,1292553320.4368813,8241507836.368729,0.000756807767243394,2198.060154604098,3742536.4432877656,1.2128737254678125e-07
1.3309909909909912,89921092.32113937,1175894413.2689495,1265815505.5900888,8557247684.502567,0.0007258447293185665,2160.236785258323,3506126.637948671,1.1362585085731295e-07
1.3710210210210212,82330934.70880105,1157928804.0216646,1240259738.7304657,8874126572.834936,0.0006968554430744883,2123.7925886473586,3289880.2355593434,1.0661778069796009e-07
1.4110510510510512,75530393.37230794,1140237677.8503976,1215768071.2227056,9192070803.463913,0.0006696280454576566,2088.584902980183,3091445.1278764666,1.0018693541519497e-07
